Població;Subespècie;X;Y;Dist_geogràfica;Dist_ambiental;Hs;Fis;Num_SNPs
VillaSeca_Otzolotepec;mexicana;-99.62705556;19.40747222;0.808896776;4.418382506;0.24;0.01;30
Churintzio_Churintzio;mexicana;-102.0684444;20.13938889;1.794106354;4.080643628;0.22;0.06;24
SMH571_Acambaro;mexicana;-100.8848889;19.99172222;0.603062874;1.8839788;0.23;0.04;16
SMH572_Acambaro;mexicana;-100.8496667;19.95819444;0.562039845;2.474121904;0.25;0.03;20
SMH573_Acambaro;mexicana;-100.9599167;19.98280556;0.674892658;2.87908751;0.26;0.1;26
SMH575_SantaAnaMaya;mexicana;-101.0881111;20.05319444;0.81490395;3.137147201;0.24;0.06;29
SMH576_Yuriria;mexicana;-101.3730833;20.16072222;1.117767443;3.863059505;0.22;0.1;21
SMHMGCH579_Puruandiro;mexicana;-101.4341667;20.13380556;1.170217707;3.366603391;0.25;0.21;27
SMHMGCH580_Huandacareo;mexicana;-101.2354167;19.96461111;0.945115612;2.826503461;0.26;0.03;22
SMHMGCH582_JesusMaria;mexicana;-102.0898333;20.71955556;1.988210307;2.452162175;0.21;0.07;14
Cocotitlan_Cocotitlan;mexicana;-98.86613889;19.22625;1.564877077;2.897349077;0.23;0.13;29
SanNicolas_SnNicolasBuenosAires;mexicana;-98.18541667;19.15947222;2.224433987;2.567261772;0.23;0.04;25
Tenancingo_Tenancingo;mexicana;-98.86372222;19.13977778;1.604141404;2.883400643;0.23;0.08;25
Calpan_Calpan;mexicana;-98.48744444;19.08388889;1.968884363;4.075388025;0.21;0.03;28
Texcoco_Texcoco;mexicana;-98.91461111;19.50252778;1.42735939;4.778472557;0.21;0.03;31
ElPorvenir;mexicana;-100.64;19.68;0.389559937;3.734284003;0.23;0.06;12
Ixtlan;mexicana;-102.37;20.17;2.096836572;5.044942513;0.21;0.11;29
Opopeo;mexicana;-101.61;19.42;1.386665164;4.66729916;0.22;0.03;25
Puruandiro;mexicana;-101.49;20.11;1.219545111;3.746131342;0.26;0.05;11
SanPedro;mexicana;-98.49;19.09;1.96412583;4.075388025;0.21;0.02;27
SantaClara;mexicana;-101.64;19.42;1.415129068;4.688319496;0.19;0.05;23
TenangodelAire;mexicana;-99.59;19.12;1.024454462;4.213120159;0.21;0.06;23
Xochimilco;mexicana;-99.08;19.29;1.343877578;2.633053201;0.16;0.02;14
Teloloapan_Teloloapan;parviglumis;-99.84108333;18.34983333;0.928659252;2.491113658;0.28;0.15;12
Alcholoa_Teloloapan;parviglumis;-99.90841667;18.41;0.845022703;1.991817858;0.29;0.06;15
Teconoapan_Teconoapa;parviglumis;-99.28547222;16.98113889;2.211668057;6.758742452;0.22;0.07;27
Chilpancingo_Chilpancingo;parviglumis;-99.47763889;17.39175;1.777902173;2.654883737;0.26;0.04;19
Mochitlan_Mochitlan;parviglumis;-99.36830556;17.45991667;1.809192604;2.208370922;0.25;0.08;19
PasoMorelos_Huitzuco;parviglumis;-99.21;18.23769444;1.55600114;2.795941198;0.23;0.19;16
Guachinango_Guauchinango;parviglumis;-104.4078889;20.62730556;4.181349375;4.605261124;0.28;0.08;16
Telpitita_VillaPurificacion;parviglumis;-104.8048889;19.71544444;4.223607367;4.654015125;0.14;0.03;24
SMH565_Ejutla;parviglumis;-104.17675;19.89613889;3.674561439;3.329858382;0.24;0.08;14
SMH577_VilladePurificacion;parviglumis;-104.8718611;19.73247222;4.292710331;4.51987357;0.1;0.06;24
SMH578_Toliman;parviglumis;-104.05825;19.53536111;3.455640511;3.10377091;0.24;0.11;14
SMHMGCH581_Zitacuaro;parviglumis;-100.4214444;19.32738889;0.71817723;2.802744528;0.24;0.06;13
SanCristobalHonduras_SanJeronimoCoatlan;parviglumis;-97.02;16.35;4.361286921;1.942904727;0.19;0.06;22
Ahuacatitlan;parviglumis;-99.81;18.36;0.954527952;2.19216446;0.27;0.13;20
AmatlandeCasas;parviglumis;-104.41;20.82;4.276730481;4.159919528;0.23;0.11;19
CruceroLagunitas;parviglumis;-99.28;16.98;2.216071662;6.765714235;0.22;0.12;26
EjutlaA;parviglumis;-104.18;19.9;3.678913827;3.329858382;0.25;0.04;15
EjutlaB;parviglumis;-104.11;19.91;3.616426451;2.437917328;0.25;0.06;11
ElRodeo;parviglumis;-97.02;16.35;4.361286921;1.942904727;0.19;0.07;16
ElSauz;parviglumis;-103.98;19.44;3.356810035;2.248042944;0.18;0.07;14
LaCadena;parviglumis;-101.21;19.06;0.631630386;4.249337882;0.26;0.1;14
LaMesa;parviglumis;-104.05;19.96;3.577828524;3.659975269;0.2;0.06;17
LosGuajes;parviglumis;-100.49;19.23;0.601808617;1.412015031;0.28;0.03;8
SanLorenzo;parviglumis;-104.01;19.95;3.527594593;3.051799581;0.14;0.02;20
